Case_Type,Case_Category,Urgency,Specialist_MCR,Specialist_Name,Primary_Institution,Secondary_Institutions,Police_Report,Medical_Evidence,Chain_of_Custody,Court_Testimony_Required,Police_Contact,Hospital_Contact,Emergency_Number,Special_Requirements,Turnaround_Time,Appointment_Type,Documentation_Type
Assault Physical,Criminal Violence,CRITICAL,"M001279,M001291,M001292","Dr Jasmine Lim, Dr Julia Robertson, Dr Edward Brown",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,Photographs injury documentation forensic swabs,Yes,Yes,999 or 6325-5000,65321234,999,Injury photography baseline STI testing ,60-90 minutes,Immediate Emergency,Medical certificate police report injury assessment
Sexual Assault,Criminal Violence,CRITICAL,"M001242,M001273,M001290","Dr Susan Lee, Dr Catherine Young, Dr Isabella Perez",KK Women's and Children's Hospital,"Singapore General Hospital, Changi General Hospital",Required,PASE kit DNA collection forensic swabs genital examination,Yes,Yes,999 or 6258-4333,63942000,999,Specialist sexual assault examination trained staff confidentiality,120-150 minutes,Immediate Emergency,Medical certificate evidence kit STI testing forensic report
Child Abuse,Criminal Abuse,CRITICAL,"M001237,M001248,M001263","Dr Wong Li Teng, Dr Nelson Grace, Dr Olivia Ng",KK Women's and Children's Hospital,"Changi General Hospital, Singapore General Hospital",Required,Injury pattern assessment developmental examination skeletal survey,Yes,Yes,1800-777-0000 or 999,63942000,999,Child protection assessment fracture analysis retinal photography,90-120 minutes,Immediate Emergency,Medical certificate child protection report assessment documentation
Domestic Violence,Criminal Violence,HIGH,"M001279,M001291","Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,Injury documentation trauma assessment photographic evidence,Yes,Yes,999 or 6292-2022,65321234,999,Confidential assessment safety planning victim support referral,60-90 minutes,Urgent,Medical certificate police report injury documentation
Road Traffic Accident,Civil/Criminal,HIGH,"M001236,M001268,M001291","Dr Jian Hao Loh, Dr Michael Davis, Dr Ethan Quinn",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,Imaging assessment injury documentation toxicology alcohol testing,Yes,Yes,999,65321234,999,Comprehensive injury assessment toxicology report accident reconstruction,90-120 minutes,Urgent Emergency,Medical certificate police report comprehensive assessment
Workplace Injury,Civil/Criminal,HIGH,"M001235,M001279,M001291","Dr Patricia Jacobs, Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,Injury assessment causation documentation MOH reporting,Yes,Yes,6317-1919 or 999,65321234,999,Occupational health assessment worker compensation form,60-90 minutes,Urgent,Medical certificate MOH report assessment documentation
Poisoning Accidental,Medical Toxicology,HIGH,"M001279,M001291,M001292","Dr Jasmine Lim, Dr Julia Robertson, Dr Edward Brown",Singapore General Hospital,"Changi General Hospital, Tan Tock Seng Hospital",No,"Toxicology blood urine samples poison identification",Yes,No,1800-6363 (Poison Control),65321234,999,Poison control consultation toxicology analysis decontamination,120-180 minutes,Urgent Emergency,Medical certificate toxicology report poison control documentation
Poisoning Intentional,Criminal/Medical,CRITICAL,"M001240,M001254,M001270,M001279","Dr Wong Fiona, Dr Angela Chua, Dr James Foster, Dr Jasmine Lim",Institute of Mental Health,"Singapore General Hospital, Tan Tock Seng Hospital",Required,"Toxicology analysis psychiatric assessment blood samples",Yes,Yes,999,65389000 or 65321234,999,Psychiatric assessment toxicology analysis suicide prevention,120-180 minutes,Immediate Emergency,Medical certificate toxicology psychiatric report police report
Sudden Death Unexplained,Medicolegal,CRITICAL,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Singapore General Hospital, Coroner's Court",Conditional,"Autopsy pathology examination toxicology",Yes,No,6223-5000 (Coroner),6223-5000,999,Autopsy report coroner determination cause of death,Variable,Urgent,Coroner's report autopsy findings pathology examination
Unidentified Body,Medicolegal,CRITICAL,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Police CID, Coroner's Court",Yes,"DNA analysis dental examination facial reconstruction",Yes,No,6223-5000 Coroner 999 Police,6223-5000,999,DNA database search dental records comparison identification process,Weeks-Months,Urgent Investigation,Coroner's report identification findings DNA analysis results
Rape,Criminal Violence,CRITICAL,"M001242,M001273,M001290","Dr Susan Lee, Dr Catherine Young, Dr Isabella Perez",KK Women's and Children's Hospital,"Singapore General Hospital, Changi General Hospital",Required,"Genital examination semen collection DNA testing STI screening",Yes,Yes,999 or 6258-4333,63942000,999,Specialist sexual assault trained staff confidentiality evidence kit,120-150 minutes,Immediate Emergency,Medical certificate PASE kit forensic report STI results
Attempted Murder,Criminal Violence,CRITICAL,"M001268,M001279,M001291","Dr Michael Davis, Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,"Detailed injury assessment imaging toxicology comprehensive documentation",Yes,Yes,999,65321234,999,Comprehensive injury documentation toxicology investigation imaging,90-120 minutes,Immediate Emergency,Medical certificate police report injury documentation forensic assessment
Homicide,Criminal,CRITICAL,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Singapore General Hospital, Police CID",Required,"Autopsy pathology toxicology wound analysis evidence",Yes,Yes,999 or 6223-5000,6223-5000 or 65321234,999,Autopsy report toxicology court testimony investigation support,Weeks,Urgent Investigation,Coroner's report autopsy findings evidence documentation
Drug Related Injury,Criminal/Medical,HIGH,"M001279,M001291,M001298","Dr Jasmine Lim, Dr Julia Robertson, Dr Angela Xavier",Singapore General Hospital,"Changi General Hospital, Tan Tock Seng Hospital",Maybe,"Toxicology drug screening blood samples urine test",Yes,Yes,1800-6363 or 999,65321234,999,Drug identification toxicology analysis rehabilitation referral,90-120 minutes,Urgent,Medical certificate drug test results toxicology report
Alcohol Related Injury,Medical/Criminal,HIGH,"M001279,M001291","Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Maybe,"Blood alcohol testing breathalyzer BAC documentation",Yes,Yes,999,65321234,999,BAC testing blood alcohol documentation police protocol,60-90 minutes,Urgent,Medical certificate BAC results police report
Burn Injury,Medical/Criminal,CRITICAL,"M001268,M001282","Dr Michael Davis, Dr Ethan Quinn",Singapore General Hospital,"Changi General Hospital, National University Hospital",Maybe,"Burn assessment photography burn depth analysis toxicology",Yes,Yes,999,65321234,999,Burn percentage assessment depth evaluation chemical analysis,120-180 minutes,Immediate Emergency,Medical certificate burn assessment toxicology report
Fracture Assessment,Civil/Criminal,MEDIUM,"M001236,M001269","Dr Jian Hao Loh, Dr Marcus Verdi",Singapore General Hospital,"Changi General Hospital, National University Hospital",Maybe,"X-ray imaging fracture pattern analysis assessment",Yes,Yes,999,65321234,999,Imaging analysis fracture dating age determination,30-60 minutes,Urgent,Medical certificate imaging report fracture assessment
Head Injury Trauma,Medical/Criminal,CRITICAL,"M001252,M001279,M001291","Dr David Iseah, Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"National Neuroscience Institute, Changi General Hospital",Maybe,"CT imaging neurological assessment toxicology",Yes,Yes,999,65321234,999,Imaging assessment neurological examination toxicology,60-120 minutes,Immediate Emergency,Medical certificate imaging results neurological assessment
Spinal Injury,Medical/Criminal,CRITICAL,"M001241,M001252,M001279","Dr Boon Huat Chua, Dr David Iseah, Dr Jasmine Lim",Singapore General Hospital,"National Neuroscience Institute, Changi General Hospital",Yes,"MRI CT imaging neurological assessment photography",Yes,Yes,999,65321234,999,Imaging assessment neurological examination functional capacity,90-120 minutes,Immediate Emergency,Medical certificate imaging results comprehensive assessment
Crush Injury,Medical/Criminal,CRITICAL,"M001268,M001279,M001291","Dr Michael Davis, Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Yes,"Imaging assessment rhabdomyolysis assessment toxicology",Yes,Yes,999,65321234,999,Compartment syndrome assessment muscle damage evaluation,120-180 minutes,Immediate Emergency,Medical certificate imaging results assessment report
Amputation,Medical/Criminal,CRITICAL,"M001268,M001279,M001291","Dr Michael Davis, Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Maybe,"Tissue preservation imaging assessment photography",Yes,Yes,999,65321234,999,Tissue preservation microsurgery assessment documentation,60-90 minutes,Immediate Emergency,Medical certificate preservation documentation assessment report
Suffocation Strangulation,Criminal,CRITICAL,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Singapore General Hospital, Police CID",Required,"Pathology autopsy toxicology neck injury analysis",Yes,Yes,999 or 6223-5000,6223-5000 or 65321234,999,Autopsy examination toxicology investigation evidence collection,Weeks,Urgent Investigation,Coroner's report autopsy findings evidence documentation
Drowning,Medical/Criminal,CRITICAL,"M001292,M001293","Dr Julia Robertson, Dr Ryan Scott",Institute of Forensic Medicine,"Singapore General Hospital, Police CID",Maybe,"Autopsy toxicology diatom analysis pathology",Yes,Yes,999 or 6223-5000,6223-5000 or 65321234,999,Autopsy report toxicology water analysis evidence,Weeks,Urgent Investigation,Coroner's report autopsy findings evidence documentation
Firearm Injury,Criminal,CRITICAL,"M001268,M001279,M001293","Dr Michael Davis, Dr Jasmine Lim, Dr Ryan Scott",Singapore General Hospital,"Institute of Forensic Medicine, Police CID",Required,"Ballistics wound analysis pathology toxicology",Yes,Yes,999,6223-5000 or 65321234,999,Autopsy ballistics analysis investigation evidence chain,120-180 minutes,Immediate Emergency,Medical certificate ballistics report pathology findings
Stab Wound,Criminal,CRITICAL,"M001268,M001279,M001291","Dr Michael Davis, Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,"Wound depth analysis imaging toxicology photography",Yes,Yes,999,65321234,999,Comprehensive injury documentation imaging toxicology,90-120 minutes,Immediate Emergency,Medical certificate imaging results assessment report
Blunt Force Trauma,Criminal,CRITICAL,"M001268,M001279,M001291","Dr Michael Davis, Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,"Injury pattern imaging toxicology documentation",Yes,Yes,999,65321234,999,Pattern analysis imaging toxicology investigation,90-120 minutes,Immediate Emergency,Medical certificate imaging results assessment report
Abdominal Trauma,Medical/Criminal,CRITICAL,"M001268,M001278,M001279","Dr Michael Davis, Dr Michael Davis, Dr Jasmine Lim",Singapore General Hospital,"Changi General Hospital, National University Hospital",Maybe,"CT imaging surgery assessment toxicology",Yes,Yes,999,65321234,999,Imaging assessment surgical evaluation toxicology,90-120 minutes,Immediate Emergency,Medical certificate imaging results assessment report
Explosion Blast Injury,Medical/Criminal,CRITICAL,"M001268,M001279,M001282,M001291","Dr Michael Davis, Dr Jasmine Lim, Dr Ethan Quinn, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,"Imaging assessment toxicology burn assessment photography",Yes,Yes,999,65321234,999,Comprehensive assessment imaging toxicology investigation,120-180 minutes,Immediate Emergency,Medical certificate comprehensive assessment report
Occupational Disease,Medical/Civil,MEDIUM,"M001235","Dr Patricia Jacobs",National University Hospital,"Singapore General Hospital, Ministry of Manpower",No,"Imaging assessment exposure documentation causation",No,Yes,6317-1919,67795000,999,Occupational health assessment work history causation,60-90 minutes,Appointment,Medical certificate occupational assessment MOH report
Insurance Claim Medical,Medical/Civil,LOW,Varies,Varies,Relevant Hospital Department,Relevant Specialty Departments,No,"Medical records imaging comprehensive assessment",No,Yes,Varies,Varies,Varies,Detailed medical assessment expert review,Days-Weeks,Appointment,Medical certificate expert assessment report
Disability Assessment,Medical/Civil,MEDIUM,"M001235","Dr Patricia Jacobs",National University Hospital,"Singapore General Hospital, Ministry of Social and Family Development",No,"Comprehensive medical imaging functional assessment",No,Yes,6325-9220,67795000,Varies,Functional capacity evaluation causation assessment,Days-Weeks,Appointment,Medical certificate disability assessment documentation
Paternity Testing,Medical/Civil,LOW,Lab specialists,Varies,Singapore Health Services Laboratory,Civil Court;Family Court,No,"Blood DNA testing genetic analysis",Yes,Yes,6337-9292,Varies,Varies,DNA analysis chain of custody,Days,Appointment,Medical certificate DNA results documentation
Substance Testing Legal,Medical,LOW,"M001235","Dr Patricia Jacobs",National University Hospital,"Singapore General Hospital",No,"Drug screening toxicology court order",Yes,Yes,6337-9292 or 6317-1919,67795000,Varies,Specimen collection chain of custody court requirements,30-60 minutes,Appointment,Medical certificate test results documentation
Fitness for Trial Assessment,Medical,MEDIUM,"M001240,M001270","Dr Wong Fiona, Dr James Foster",Institute of Mental Health,"Tan Tock Seng Hospital, Singapore General Hospital",No,"Psychological psychiatric comprehensive evaluation",No,Yes,6337-9292 or 6389-2000,65389000,Varies,Psychiatric assessment competency evaluation,Weeks,Appointment,Medical certificate psychiatric assessment report
Insanity Defense Assessment,Medical,MEDIUM,"M001240,M001270","Dr Wong Fiona, Dr James Foster",Institute of Mental Health,"Tan Tock Seng Hospital, Singapore General Hospital",No,"Psychiatric evaluation psychological testing detailed",No,Yes,6337-9292 or 6389-2000,65389000,Varies,Psychiatric assessment mental state determination,Weeks,Appointment,Medical certificate detailed psychiatric assessment report
Death Certification,Medical,MEDIUM,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Singapore General Hospital, Coroner's Court",No,"Medical examination medical records pathology",No,No,6223-5000,6223-5000 or 65321234,999,Coroner determination cause of death,30-60 minutes,Urgent,Death certificate pathology examination documentation
Time of Death Estimation,Medical,MEDIUM,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Coroner's Court, Police CID",Yes,"Pathology examination environmental assessment",No,Yes,6223-5000,6223-5000,Varies,Forensic determination analysis findings,Hours-Days,Urgent Investigation,Coroner's report pathology examination findings
Cause of Death Determination,Medical,CRITICAL,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Coroner's Court, Singapore General Hospital",Yes,"Autopsy pathology toxicology examination",Yes,Yes,6223-5000,6223-5000 or 65321234,999,Autopsy report toxicology findings investigation,Days,Urgent,Coroner's report autopsy findings documentation
Manner of Death Determination,Medical,CRITICAL,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Police CID, Coroner's Court",Yes,"Autopsy investigation pathology complete",Yes,Yes,999 or 6223-5000,6223-5000 or 65321234,999,Investigation findings pathology evidence analysis,Weeks,Urgent Investigation,Coroner's report pathology findings investigation results
