Condition,ICD10_Code,Symptoms,Recommended_Specialty,Sub_Specialty,Urgency_Level,Hospital_Type,CHAS_Coverage,Alternative_Specialties,Triage_Color
Tetanus,A35,Muscle rigidity lockjaw fever,General Practice,None,CRITICAL,Hospital,No,Emergency Medicine Infectious Diseases,RED
Poliomyelitis,A80,Paralysis fever malaise,General Practice,None,CRITICAL,Hospital,No,Emergency Medicine Neurology,RED
Influenza,J11,Fever cough body aches,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine,YELLOW
Dengue,A90,High fever body aches rash,Infectious Diseases,Tropical Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Malaria,B50,High fever chills sweating,Infectious Diseases,Tropical Medicine,HIGH,Hospital,No,General Practice Emergency Medicine,YELLOW
Zika,A92,Rash fever joint pain,Infectious Diseases,Tropical Medicine,MEDIUM,Clinic,No,General Practice,YELLOW
Chikungunya,A92,High fever joint pain rash,Infectious Diseases,Tropical Medicine,MEDIUM,Clinic,No,General Practice,YELLOW
HIV,B20,Fever weight loss opportunistic infections,Infectious Diseases,HIV Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Syphilis,A51,Ulcers rash systemic symptoms,Infectious Diseases,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Gonorrhea,A54,Urethritis cervicitis pelvic pain,Infectious Diseases,None,MEDIUM,Clinic,Yes,General Practice Urology,GREEN
Chlamydia,A56,Urethritis cervicitis discharge,Infectious Diseases,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Herpes Simplex,B00,Vesicles pain fever,Infectious Diseases,None,MEDIUM,Clinic,Yes,Dermatology,YELLOW
Hepatitis B,B19,Jaundice fatigue abdominal pain,Infectious Diseases,None,HIGH,Hospital,No,Gastroenterology,YELLOW
Hepatitis C,B19,Jaundice fatigue liver dysfunction,Infectious Diseases,None,MEDIUM,Hospital,No,Gastroenterology,YELLOW
Whooping Cough,A37,Prolonged cough whooping,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine Paediatrics,YELLOW
Common Cold,J00,Runny nose cough sneezing,General Practice,None,LOW,Clinic,Yes,Otolaryngology,GREEN
Flu,J11,Fever cough body aches malaise,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine,YELLOW
COVID-19,U07,Fever cough shortness of breath,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine Emergency Medicine,YELLOW
Fungal Meningitis,G03,Headache fever neck stiffness,Infectious Diseases,None,CRITICAL,Hospital,No,Emergency Medicine Neurology,RED
Bacterial Meningitis,G00,Headache fever neck stiffness rash,Infectious Diseases,None,CRITICAL,Hospital,No,Emergency Medicine Neurology,RED
Viral Meningitis,G03,Headache fever neck stiffness,General Practice,None,HIGH,Hospital,Yes,Emergency Medicine Neurology,YELLOW
Encephalitis,A86,Fever headache altered consciousness,Infectious Diseases,None,CRITICAL,Hospital,No,Emergency Medicine Neurology,RED
Rabies,A82,Fever hydrophobia paralysis,Infectious Diseases,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Leptospirosis,A27,High fever muscle pain jaundice,Infectious Diseases,Tropical Medicine,HIGH,Hospital,No,General Practice,YELLOW
Relapsing Fever,A68,High fever chills sweating,Infectious Diseases,Tropical Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Rat Bite Fever,A25,Fever rash joint pain,Infectious Diseases,None,MEDIUM,Clinic,No,General Practice,YELLOW
Plague,A20,High fever buboes sepsis,Infectious Diseases,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Typhus,A75,High fever rash headache,Infectious Diseases,Tropical Medicine,HIGH,Hospital,No,General Practice,YELLOW
Typhoid,A01,High fever rose spots rash,Infectious Diseases,Tropical Medicine,HIGH,Hospital,No,General Practice,YELLOW
Brucellosis,A23,Fever joint pain fatigue,Infectious Diseases,Tropical Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Q Fever,A78,Fever fatigue pneumonia,Infectious Diseases,None,MEDIUM,Hospital,No,General Practice,YELLOW
Cat Scratch Disease,A28,Fever lymphadenopathy,Infectious Diseases,None,LOW,Clinic,No,General Practice,GREEN
Toxoplasmosis,B58,Fever lymphadenopathy,Infectious Diseases,None,MEDIUM,Hospital,No,General Practice,YELLOW
Leishmaniasis,B55,Fever weight loss skin lesions,Infectious Diseases,Tropical Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Strongyloidiasis,B78,Diarrhea abdominal pain malabsorption,Infectious Diseases,None,MEDIUM,Clinic,No,General Practice,YELLOW
Hookworm,B76,Anemia fatigue pale,Infectious Diseases,None,LOW,Clinic,No,General Practice,GREEN
Roundworm,B77,Abdominal pain malabsorption,Infectious Diseases,None,LOW,Clinic,No,General Practice,GREEN
Tapeworm,B71,Abdominal pain diarrhea weight loss,Infectious Diseases,None,LOW,Clinic,No,General Practice,GREEN
Schistosomiasis,B65,Diarrhea hematuria fever,Infectious Diseases,None,MEDIUM,Hospital,No,General Practice,YELLOW
Filariasis,B74,Limb swelling lymphadenopathy,Infectious Diseases,Tropical Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Onchocerciasis,B73,Skin nodules blindness itching,Infectious Diseases,Tropical Medicine,MEDIUM,Hospital,No,General Practice Ophthalmology,YELLOW
Trichinellosis,B75,Muscle pain fever diarrhea,Infectious Diseases,None,MEDIUM,Hospital,No,General Practice,YELLOW
Giardiasis,A07,Diarrhea abdominal pain malabsorption,Infectious Diseases,None,LOW,Clinic,Yes,General Practice,GREEN
Amebiasis,A06,Diarrhea abdominal pain,Infectious Diseases,None,MEDIUM,Clinic,No,General Practice,YELLOW
Cryptosporidiosis,A07,Diarrhea abdominal pain immunocompromised,Infectious Diseases,None,MEDIUM,Clinic,No,General Practice,YELLOW
Norovirus,A08,Diarrhea vomiting nausea,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Rotavirus,A08,Diarrhea vomiting fever,General Practice,None,MEDIUM,Clinic,Yes,Paediatrics,YELLOW
Adenovirus,B34,Fever conjunctivitis respiratory symptoms,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Coxsackievirus,B34,Fever rash hand foot mouth,General Practice,None,LOW,Clinic,Yes,Paediatrics,GREEN
Echovirus,B34,Fever rash meningitis,General Practice,None,MEDIUM,Hospital,No,General Practice,YELLOW
Rhinovirus,J00,Runny nose cough sneezing,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Coronavirus,U07,Fever cough shortness of breath,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine,YELLOW
Enterovirus,B34,Fever rash paralysis,General Practice,None,MEDIUM,Hospital,No,General Practice,YELLOW
Hand Foot Mouth,B08,Blistering rash fever,General Practice,None,LOW,Clinic,Yes,Paediatrics,GREEN
Herpangina,B08,Sore throat vesicles fever,General Practice,None,LOW,Clinic,Yes,Otolaryngology,GREEN
Infectious Mononucleosis,B27,Sore throat fever fatigue,General Practice,None,MEDIUM,Clinic,Yes,Infectious Diseases,YELLOW
Cytomegalovirus,B25,Fever malaise lymphadenopathy,Infectious Diseases,None,MEDIUM,Hospital,No,General Practice,YELLOW
Epstein Barr Virus,B27,Sore throat fever fatigue,General Practice,None,MEDIUM,Clinic,Yes,Infectious Diseases,YELLOW
Acute Retroviral Syndrome,B20,Fever rash malaise,Infectious Diseases,HIV Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Opportunistic Infection,B20,Fever cough diarrhea,Infectious Diseases,HIV Medicine,HIGH,Hospital,No,General Practice,YELLOW
Immune Reconstitution Inflammatory,B20,Fever malaise worsening symptoms,Infectious Diseases,None,MEDIUM,Hospital,No,General Practice,YELLOW
Nail Fungus,B35,Discolored thickened nails,Dermatology,None,LOW,Clinic,No,General Practice,GREEN
Scabies,B86,Itching rash burrows,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Head Lice,B85,Itching scalp rash,Dermatology,None,LOW,Clinic,No,General Practice,GREEN
Body Lice,B85,Itching rash fever,Dermatology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Bed Bugs,B88,Itching rash bite marks,Dermatology,None,LOW,Clinic,No,General Practice,GREEN
Impetigo,L01,Pustules crusting contagious,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Cellulitis,L03,Redness swelling warmth spreading,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Erysipelas,L04,Raised red rash fever,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Abscess,L02,Localized pus swelling pain,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Carbuncle,L02,Multiple connected boils fever,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Folliculitis,L73,Hair follicle pustules itching,Dermatology,None,LOW,Clinic,Yes,General Practice,GREEN
Boil,L02,Single pustule pain swelling,Dermatology,None,LOW,Clinic,Yes,General Practice,GREEN
Seborrheic Keratosis,L82,Brown warty lesion,Dermatology,None,LOW,Clinic,No,General Practice,GREEN
Mole,D22,Pigmented lesion,Dermatology,None,LOW,Clinic,No,General Practice,GREEN
Wart,B07,Hard bumpy growth,Dermatology,None,LOW,Clinic,No,General Practice,GREEN
Plantar Wart,B07,Painful growth on sole,Dermatology,None,LOW,Clinic,No,General Practice,GREEN
Cold Sore,B00,Blistering lip pain,Dermatology,None,LOW,Clinic,Yes,General Practice,GREEN
Canker Sore,K12,Mouth ulcer pain,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Geographic Tongue,K14,Map like pattern on tongue,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Black Hairy Tongue,K14,Black discoloration tongue,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Oral Thrush,B37,White patches mouth pain,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Gingivitis,K05,Red bleeding gums swelling,Dentistry,None,LOW,Clinic,Yes,General Practice,GREEN
Periodontitis,K05,Loose teeth pain bone loss,Dentistry,None,MEDIUM,Clinic,No,General Practice,YELLOW
Cavities,K02,Tooth pain decay,Dentistry,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Tooth Abscess,K04,Tooth pain swelling fever,Dentistry,None,MEDIUM,Clinic,No,Emergency Medicine,YELLOW
Bruxism,K07,Tooth wear jaw pain,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Temporomandibular Disorder,K07,Jaw pain clicking difficulty opening,General Practice,None,MEDIUM,Clinic,No,Dentistry,YELLOW
Dry Socket,K10,Severe pain after extraction,Dentistry,None,MEDIUM,Clinic,No,General Practice,YELLOW
Lost Filling,K02,Exposed tooth sensitivity,Dentistry,None,LOW,Clinic,No,General Practice,GREEN
Broken Tooth,S02,Tooth fracture pain,Dentistry,None,MEDIUM,Clinic,No,General Practice,YELLOW
Loose Tooth,K00,Mobile tooth pain,Dentistry,None,MEDIUM,Clinic,No,General Practice,YELLOW
Stains,K03,Discolored teeth cosmetic concern,Dentistry,Cosmetic Dentistry,LOW,Clinic,No,General Practice,GREEN
Bite Problems,K07,Misaligned teeth difficulty chewing,Dentistry,None,LOW,Clinic,No,General Practice,GREEN
Missing Teeth,K08,Gap after tooth loss,Dentistry,Prosthodontics,LOW,Clinic,No,General Practice,GREEN
Dentures Issues,K09,Loose dentures sore spots,Dentistry,Prosthodontics,LOW,Clinic,No,General Practice,GREEN
Implant Problems,K08,Pain around implant,Dentistry,Oral Implantology,MEDIUM,Clinic,No,General Practice,YELLOW
Gum Disease Progression,K06,Gum recession bone loss,Dentistry,None,MEDIUM,Clinic,No,General Practice,YELLOW
Mouth Cancer,C00,Ulcer difficulty swallowing,Dentistry,Maxillofacial Surgery,HIGH,Hospital,No,Oncology General Surgery,YELLOW
Jaw Fracture,S02,Jaw pain swelling,Maxillofacial Surgery,None,HIGH,Hospital,No,Dentistry Emergency Medicine,YELLOW
Facial Trauma,S01,Face pain swelling bleeding,Maxillofacial Surgery,None,HIGH,Hospital,No,General Surgery Emergency Medicine,YELLOW
Orthodontic Emergency,K07,Bracket loose pain,Dentistry,None,MEDIUM,Clinic,No,General Practice,YELLOW
Tongue Swelling,K14,Airway compromise difficulty speaking,Dermatology,None,CRITICAL,Hospital,No,Emergency Medicine Otolaryngology,RED
Lip Swelling,L56,Angioedema allergic reaction,Dermatology,None,MEDIUM,Clinic,Yes,Emergency Medicine,YELLOW
Dry Mouth,K11,Xerostomia discomfort,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Excessive Drooling,K11,Saliva overflow discomfort,General Practice,None,LOW,Clinic,No,General Practice Neurology,GREEN
Difficulty Swallowing,R13,Dysphagia coughing aspiration risk,General Practice,None,MEDIUM,Hospital,No,Otolaryngology,YELLOW
Hoarseness,R49,Voice change quality,General Practice,None,MEDIUM,Clinic,No,Otolaryngology,YELLOW
Voice Loss,R49,Complete aphonia,General Practice,None,MEDIUM,Clinic,No,Otolaryngology,YELLOW
Taste Loss,R43,Ageusia dysgeusia,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Smell Loss,R43,Anosmia dysosmia,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Nosebleed,R04,Epistaxis bleeding,General Practice,None,MEDIUM,Clinic,Yes,Otolaryngology,YELLOW
Nasal Obstruction,J30,Blocked nose breathing difficulty,General Practice,None,LOW,Clinic,Yes,Otolaryngology,GREEN
Nasal Polyps,J33,Nasal obstruction breathing difficulty,Otolaryngology,None,LOW,Clinic,No,General Practice,GREEN
Deviated Septum,J34,Nasal obstruction breathing difficulty,Otolaryngology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Sinus Headache,R51,Frontal pain pressure,General Practice,None,MEDIUM,Clinic,Yes,Otolaryngology,YELLOW
Nasal Trauma,S02,Nosebleed swelling deformity,Otolaryngology,None,MEDIUM,Hospital,No,Emergency Medicine,YELLOW
Earwax Impaction,H61,Hearing loss ear fullness,General Practice,None,LOW,Clinic,Yes,Otolaryngology,GREEN
Ear Pain,H92,Otalgia discomfort,General Practice,None,MEDIUM,Clinic,Yes,Otolaryngology,YELLOW
Ear Discharge,H92,Pus drainage pain,Otolaryngology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Hearing Loss,H91,Difficulty hearing tinnitus,Otolaryngology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Tinnitus,H93,Ringing in ears hearing loss,Otolaryngology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Vertigo,R42,Dizziness spinning nausea,Neurology,None,MEDIUM,Hospital,Yes,General Practice Otolaryngology,YELLOW
Benign Paroxysmal Positional Vertigo,H81,Positional dizziness nausea,Neurology,None,MEDIUM,Clinic,No,General Practice Otolaryngology,YELLOW
Motion Sickness,R51,Nausea dizziness discomfort,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Dizziness,R42,Lightheadedness unsteadiness,General Practice,None,MEDIUM,Clinic,Yes,General Practice Cardiology,YELLOW
Eye Pain,H57,Ocular pain discomfort,Ophthalmology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Eye Itching,H57,Itching allergic reaction,Ophthalmology,None,LOW,Clinic,Yes,General Practice,GREEN
Eye Redness,H57,Conjunctivitis discharge,Ophthalmology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Eye Discharge,H57,Pus mucus drainage,Ophthalmology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Tearing,H57,Excessive tearing blocking,Ophthalmology,None,LOW,Clinic,Yes,General Practice,GREEN
Dry Eyes,H04,Dryness irritation burning,Ophthalmology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Blurred Vision,H53,Difficulty seeing clearly,Ophthalmology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Double Vision,H53,Diplopia seeing two images,Ophthalmology,None,MEDIUM,Hospital,No,Neurology,YELLOW
Color Blindness,H53,Inability to distinguish colors,Ophthalmology,None,LOW,Clinic,No,General Practice,GREEN
Night Blindness,H53,Difficulty seeing in dark,Ophthalmology,None,LOW,Clinic,No,General Practice,GREEN
Floaters,H57,Spots or lines in vision,Ophthalmology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Flashes,H53,Light flashes vision,Ophthalmology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Halo Around Lights,H53,Colored rings around lights,Ophthalmology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Photophobia,H53,Light sensitivity discomfort,Ophthalmology,None,MEDIUM,Clinic,Yes,General Practice Neurology,YELLOW
Conjunctivitis,H10,Red itchy eyes discharge,Ophthalmology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Keratitis,H16,Corneal inflammation pain,Ophthalmology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Uveitis,H20,Eye pain vision loss inflammation,Ophthalmology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Cataracts,H26,Cloudy lens vision loss,Ophthalmology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Glaucoma,H40,Elevated intraocular pressure vision loss,Ophthalmology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Age Related Macular Degeneration,H35,Central vision loss blurred,Ophthalmology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Diabetic Retinopathy,H36,Vision loss hemorrhage,Ophthalmology,None,MEDIUM,Hospital,No,General Practice Endocrinology,YELLOW
Retinal Detachment,H33,Floaters flashes vision loss,Ophthalmology,Retinal Diseases,CRITICAL,Hospital,No,General Practice,RED
Myopia,H52,Blurred distance vision,Ophthalmology,None,LOW,Clinic,No,General Practice,GREEN
Hyperopia,H52,Blurred near vision,Ophthalmology,None,LOW,Clinic,No,General Practice,GREEN
Astigmatism,H52,Blurred vision fatigue,Ophthalmology,None,LOW,Clinic,No,General Practice,GREEN
Presbyopia,H52,Difficulty reading aging,Ophthalmology,None,LOW,Clinic,No,General Practice,GREEN
Lazy Eye,H53,Amblyopia reduced vision,Ophthalmology,None,MEDIUM,Clinic,No,General Practice Paediatrics,YELLOW
Strabismus,H51,Misaligned eyes crossed,Ophthalmology,None,MEDIUM,Clinic,No,General Practice Paediatrics,YELLOW
Eye Strain,H53,Fatigue discomfort headache,Ophthalmology,None,LOW,Clinic,Yes,General Practice,GREEN
Ptosis,H02,Drooping eyelid vision obstruction,Ophthalmology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Bell's Palsy,G51,Facial drooping weakness,Neurology,None,MEDIUM,Hospital,Yes,General Practice,YELLOW
Facial Twitch,G25,Involuntary muscle movement,Neurology,None,LOW,Clinic,No,General Practice,GREEN
Facial Pain,G50,Trigeminal neuralgia severe pain,Neurology,Pain Management,MEDIUM,Hospital,No,General Practice,YELLOW
Jaw Pain,M26,Temporomandibular dysfunction,General Practice,None,MEDIUM,Clinic,No,Dentistry,YELLOW
Headache,R51,Pain head region,General Practice,None,MEDIUM,Clinic,Yes,Neurology,YELLOW
Severe Headache,R51,Worst headache of life,General Practice,None,CRITICAL,Hospital,Yes,Emergency Medicine Neurology,RED
Pressure Headache,R51,Tight band sensation,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Pounding Headache,R51,Throbbing pain,General Practice,None,MEDIUM,Clinic,Yes,Neurology,YELLOW
One Sided Headache,R51,Unilateral pain,General Practice,None,MEDIUM,Clinic,Yes,Neurology,YELLOW
Frontal Headache,R51,Front of head pain,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Occipital Headache,R51,Back of head pain,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Neck Stiffness,R29,Difficulty moving neck,General Practice,None,MEDIUM,Hospital,Yes,Neurology,YELLOW
Neck Pain,M54,Cervical pain stiffness,General Practice,None,MEDIUM,Clinic,Yes,Orthopaedic Surgery,YELLOW
Shoulder Pain,M25,Shoulder discomfort limitation,General Practice,None,MEDIUM,Clinic,Yes,Orthopaedic Surgery,YELLOW
Arm Pain,M79,Arm discomfort weakness,General Practice,None,MEDIUM,Clinic,Yes,Orthopaedic Surgery,YELLOW
Elbow Pain,M25,Elbow discomfort limitation,General Practice,None,MEDIUM,Clinic,Yes,Orthopaedic Surgery,YELLOW
Wrist Pain,M25,Wrist discomfort limitation,General Practice,None,MEDIUM,Clinic,Yes,Orthopaedic Surgery,YELLOW
Hand Pain,M79,Hand discomfort weakness,General Practice,None,MEDIUM,Clinic,Yes,Orthopaedic Surgery,YELLOW
Finger Pain,M79,Finger discomfort swelling,General Practice,None,MEDIUM,Clinic,Yes,Orthopaedic Surgery,YELLOW
Chest Wall Pain,R07,Musculoskeletal chest pain,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Abdominal Pain,R10,Belly discomfort,General Practice,None,MEDIUM,Clinic,Yes,General Practice Gastroenterology,YELLOW
Upper Abdominal Pain,R10,Epigastric pain discomfort,General Practice,None,MEDIUM,Clinic,Yes,General Practice Gastroenterology,YELLOW
Lower Abdominal Pain,R10,Suprapubic pain cramping,General Practice,None,MEDIUM,Clinic,Yes,General Practice Gastroenterology,YELLOW
Right Sided Abdominal Pain,R10,Right lower quadrant pain,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Left Sided Abdominal Pain,R10,Left lower quadrant pain,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Periumbilical Pain,R10,Around belly button pain,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Cramping,R10,Abdominal spasm pain,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Bloating,R14,Abdominal distention gas,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Gas,R14,Intestinal gas discomfort,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Constipation,K59,Difficult bowel movement,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Diarrhea,K59,Loose watery stools,General Practice,None,MEDIUM,Clinic,Yes,General Practice Gastroenterology,YELLOW
Bloody Stools,K92,Rectal bleeding melena,General Practice,None,MEDIUM,Clinic,Yes,Gastroenterology,YELLOW
Black Stools,K92,Melena tarry stools,General Practice,None,MEDIUM,Hospital,Yes,Emergency Medicine Gastroenterology,YELLOW
Mucus in Stools,R19,Slimy coating stools,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Pale Stools,R19,Fatty pale stools,General Practice,None,MEDIUM,Clinic,Yes,Gastroenterology,YELLOW
Fatty Stools,R19,Greasy floating stools,General Practice,None,MEDIUM,Clinic,Yes,Gastroenterology,YELLOW
Oily Stools,R19,Anal leakage oily,General Practice,None,MEDIUM,Clinic,No,Gastroenterology,YELLOW
Fecal Incontinence,R15,Loss of bowel control,General Practice,None,MEDIUM,Clinic,No,General Practice Gastroenterology,YELLOW
Anal Pain,R10,Rectal discomfort,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Anal Itching,L29,Pruritus ani discomfort,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Anal Bleeding,K64,Hemorrhoid bleeding,General Practice,None,MEDIUM,Clinic,Yes,Gastroenterology,YELLOW
Anal Mass,K62,Lump in anal area,General Practice,None,MEDIUM,Clinic,No,Gastroenterology,YELLOW
Nausea,R11,Feeling sick queasiness,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Vomiting,R11,Forceful emptying stomach,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Hematemesis,K92,Blood in vomit,General Practice,None,CRITICAL,Hospital,Yes,Emergency Medicine Gastroenterology,RED
Regurgitation,K21,Food coming back up,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Burping,R14,Excessive belching gas,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Hiccup,R06,Involuntary diaphragm spasm,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Belching,R14,Repeated burping,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Loss Of Appetite,R63,Decreased hunger intake,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Increase Of Appetite,R63,Increased hunger intake,General Practice,None,MEDIUM,Clinic,No,General Practice Endocrinology,YELLOW
Weight Loss,R63,Unintentional decrease,General Practice,None,MEDIUM,Clinic,Yes,General Practice Oncology,YELLOW
Weight Gain,R63,Unintentional increase,General Practice,None,MEDIUM,Clinic,Yes,General Practice Endocrinology,YELLOW
Swallowing Difficulty,R13,Dysphagia pain,General Practice,None,MEDIUM,Hospital,No,Otolaryngology,YELLOW
Swallowing Pain,R13,Odynophagia discomfort,General Practice,None,MEDIUM,Clinic,Yes,Otolaryngology,YELLOW
Choking Sensation,R06,Coughing gagging,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Lump in Throat,R09,Globus sensation anxiety,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Throat Tightness,R06,Pharyngeal constriction,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Throat Burning,R09,Pharyngeal burning sensation,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Excessive Salivation,K11,Ptyalism wetness,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Foreign Body Sensation,R09,Feeling of lodged object,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Halitosis,R19,Bad breath odor,General Practice,None,LOW,Clinic,Yes,General Practice Dentistry,GREEN
Polyuria,R35,Frequent urination volume,General Practice,None,MEDIUM,Clinic,Yes,Endocrinology,YELLOW
Nocturia,R35,Nighttime urination frequency,General Practice,None,MEDIUM,Clinic,Yes,General Practice Urology,YELLOW
Dysuria,R30,Painful urination discomfort,General Practice,None,MEDIUM,Clinic,Yes,General Practice Urology,YELLOW
Urinary Urgency,R30,Frequent urge to urinate,General Practice,None,MEDIUM,Clinic,Yes,General Practice Urology,YELLOW
Urinary Frequency,R35,Need to urinate often,General Practice,None,MEDIUM,Clinic,Yes,General Practice Urology,YELLOW
Weak Stream,R39,Reduced urinary flow,General Practice,None,MEDIUM,Clinic,No,General Practice Urology,YELLOW
Hesitancy,R39,Difficulty starting urination,General Practice,None,MEDIUM,Clinic,No,General Practice Urology,YELLOW
